Park Name,Park Code,State,ACRES,Latitude,Longitude,Average,Native,Not Native,Unknown,total_species,NonNative_Ratio,Algae,Amphibian,Bird,Crab/Lobster/Shrimp,Fish,Fungi,Insect,Invertebrate,Mammal,Nonvascular Plant,Reptile,Slug/Snail,Spider/Scorpion,Vascular Plant,NonNative_to_Native_Ratio
Acadia National Park,ACAD,ME,47390,44.35,-68.21,2872667,1189.0,486.0,33.0,1708.0,0.28454332552693207,0.0,15.0,364.0,0.0,38.0,0.0,0.0,0.0,55.0,0.0,11.0,0.0,0.0,1226.0,0.4087468460891506
Arches National Park,ARCH,UT,76519,38.68,-109.57,1334063,939.0,108.0,1.0,1048.0,0.10305343511450382,0.0,8.0,205.0,0.0,11.0,0.0,0.0,0.0,59.0,0.0,20.0,0.0,0.0,745.0,0.11501597444089456
Badlands National Park,BADL,SD,242756,43.75,-102.5,951227,779.0,100.0,35.0,914.0,0.10940919037199125,0.0,10.0,239.0,0.0,24.0,173.0,239.0,1.0,64.0,0.0,13.0,0.0,1.0,625.0,0.12836970474967907
Big Bend National Park,BIBE,TX,801163,29.25,-103.25,377154,2108.0,112.0,9.0,2229.0,0.05024674742036788,0.0,13.0,415.0,0.0,53.0,0.0,0.0,0.0,89.0,48.0,62.0,0.0,0.0,1589.0,0.05313092979127135
Biscayne National Park,BISC,FL,172924,25.65,-80.08,509950,751.0,241.0,620.0,1612.0,0.14950372208436724,0.0,8.0,233.0,0.0,818.0,0.0,11.0,34.0,28.0,0.0,40.0,0.0,0.0,554.0,0.3209054593874834
Black Canyon of the Gunnison National Park,BLCA,CO,32950,38.57,-107.72,239225,975.0,130.0,1.0,1106.0,0.11754068716094032,0.0,2.0,175.0,0.0,16.0,0.0,0.0,0.0,67.0,0.0,11.0,0.0,0.0,835.0,0.13333333333333333
Bryce Canyon National Park,BRCA,UT,35835,37.57,-112.18,1867144,1186.0,98.0,2.0,1286.0,0.07620528771384137,0.0,4.0,217.0,0.0,1.0,0.0,0.0,0.0,76.0,0.0,13.0,0.0,0.0,975.0,0.08263069139966273
Canyonlands National Park,CANY,UT,337598,38.2,-109.93,599385,1103.0,120.0,0.0,1223.0,0.09811937857726902,0.0,7.0,220.0,0.0,33.0,0.0,0.0,0.0,76.0,0.0,22.0,0.0,0.0,865.0,0.10879419764279238
Capitol Reef National Park,CARE,UT,241904,38.2,-111.17,906527,1406.0,158.0,2.0,1566.0,0.10089399744572158,0.0,6.0,248.0,0.0,15.0,0.0,0.0,0.0,73.0,0.0,21.0,0.0,0.0,1203.0,0.112375533428165
Carlsbad Caverns National Park,CAVE,NM,46766,32.17,-104.44,429958,1398.0,73.0,11.0,1482.0,0.049257759784075573,0.0,15.0,367.0,0.0,5.0,0.0,0.0,0.0,92.0,0.0,62.0,0.0,0.0,995.0,0.05221745350500715
Channel Islands National Park,CHIS,CA,249561,34.01,-119.42,317325,1631.0,233.0,0.0,1864.0,0.125,61.0,4.0,357.0,11.0,273.0,0.0,2.0,196.0,44.0,68.0,11.0,33.0,1.0,824.0,0.14285714285714285
Congaree National Park,CONG,SC,26546,33.78,-80.78,128785,1156.0,85.0,1.0,1242.0,0.06843800322061191,74.0,43.0,200.0,6.0,65.0,279.0,617.0,15.0,39.0,7.0,50.0,21.0,21.0,884.0,0.07352941176470588
Crater Lake National Park,CRLA,OR,183224,42.94,-122.1,588563,1350.0,69.0,6.0,1425.0,0.04842105263157895,218.0,20.0,252.0,40.0,13.0,192.0,994.0,68.0,96.0,193.0,20.0,9.0,17.0,1628.0,0.051111111111111114
Cuyahoga Valley National Park,CUVA,OH,32950,41.24,-81.55,2251537,1598.0,290.0,4.0,1892.0,0.15327695560253699,0.0,24.0,246.0,8.0,85.0,0.0,227.0,25.0,47.0,0.0,23.0,15.0,2.0,1239.0,0.18147684605757197
Death Valley National Park,DEVA,"CA, NV",4740912,36.24,-116.82,1213505,1593.0,127.0,130.0,1850.0,0.06864864864864866,60.0,71.0,531.0,38.0,9.0,123.0,903.0,18.0,212.0,22.0,90.0,72.0,32.0,2258.0,0.07972379158819837
Denali National Park and Preserve,DENA,AK,3372402,63.33,-150.5,522290,1030.0,22.0,6.0,1058.0,0.020793950850661626,0.0,1.0,179.0,0.0,14.0,29.0,51.0,3.0,43.0,159.0,0.0,0.0,0.0,841.0,0.021359223300970873
Dry Tortugas National Park,DRTO,FL,64701,24.63,-82.87,64769,363.0,196.0,285.0,844.0,0.23222748815165878,0.0,0.0,283.0,0.0,281.0,0.0,0.0,42.0,6.0,0.0,5.0,0.0,0.0,231.0,0.5399449035812672
Everglades National Park,EVER,FL,1508538,25.32,-80.93,989213,1465.0,495.0,18.0,1978.0,0.25025278058645095,0.0,17.0,370.0,0.0,426.0,0.0,0.0,0.0,42.0,0.0,61.0,0.0,0.0,1168.0,0.3378839590443686
Gates Of The Arctic National Park and Preserve,GAAR,AK,7523898,67.78,-153.3,10912,870.0,0.0,1.0,871.0,0.0,0.0,1.0,134.0,0.0,17.0,474.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,688.0,0.0
Glacier Bay National Park and Preserve,GLBA,AK,3224840,58.5,-137.0,522075,1343.0,71.0,364.0,1778.0,0.03993250843644545,64.0,5.0,258.0,96.0,359.0,2.0,35.0,117.0,58.0,98.0,3.0,37.0,3.0,822.0,0.05286671630677588
Glacier National Park,GLAC,MT,1013572,48.8,-114.0,2537795,2180.0,159.0,41.0,2380.0,0.06680672268907563,2.0,6.0,277.0,6.0,27.0,276.0,197.0,2.0,69.0,404.0,4.0,20.0,0.0,1266.0,0.07293577981651377
Grand Canyon National Park,GRCA,AZ,1217403,36.06,-112.14,5252922,2343.0,225.0,26.0,2594.0,0.08673862760215882,0.0,15.0,456.0,0.0,29.0,0.0,57.0,1.0,106.0,0.0,76.0,2.0,142.0,1738.0,0.09603072983354674
Grand Teton National Park,GRTE,WY,309995,43.73,-110.8,3007602,1583.0,168.0,237.0,1988.0,0.08450704225352113,1.0,7.0,266.0,1.0,21.0,28.0,154.0,5.0,74.0,0.0,5.0,4.0,1.0,1463.0,0.10612760581174985
Great Basin National Park,GRBA,NV,77180,38.98,-114.3,118948,1083.0,85.0,35.0,1203.0,0.07065669160432253,0.0,22.0,330.0,6.0,21.0,15.0,456.0,29.0,103.0,16.0,58.0,30.0,18.0,1549.0,0.07848568790397045
Great Sand Dunes National Park and Preserve,GRSA,CO,42984,37.73,-105.51,347784,893.0,50.0,0.0,943.0,0.053022269353128315,0.0,6.0,240.0,0.0,6.0,0.0,1.0,0.0,68.0,1.0,8.0,0.0,0.0,622.0,0.055991041433370664
Great Smoky Mountains National Park,GRSM,"TN, NC",521490,35.68,-83.53,10494546,2632.0,456.0,54.0,3142.0,0.14513049013367282,0.0,61.0,272.0,10.0,107.0,632.0,2414.0,84.0,94.0,528.0,51.0,92.0,104.0,2174.0,0.17325227963525835
Guadalupe Mountains National Park,GUMO,TX,86416,31.92,-104.87,175447,1590.0,51.0,3.0,1644.0,0.03102189781021898,0.0,12.0,272.0,5.0,3.0,66.0,115.0,7.0,76.0,5.0,56.0,58.0,2.0,1069.0,0.03207547169811321
Haleakala National Park,HALE,HI,29094,20.72,-156.17,1071580,1342.0,975.0,62.0,2379.0,0.4098360655737705,0.0,3.0,44.0,18.0,6.0,66.0,1061.0,37.0,15.0,227.0,10.0,47.0,46.0,1000.0,0.7265275707898659
Hawaii Volcanoes National Park,HAVO,HI,323431,19.38,-155.2,1563914,1842.0,1413.0,43.0,3298.0,0.42844147968465734,0.0,4.0,78.0,56.0,4.0,7.0,1429.0,173.0,15.0,135.0,13.0,71.0,101.0,1212.0,0.7671009771986971
Hot Springs National Park,HOSP,AR,5550,34.51,-93.05,1425899,1155.0,263.0,350.0,1768.0,0.14875565610859728,24.0,27.0,387.0,9.0,90.0,0.0,15.0,22.0,52.0,18.0,52.0,2.0,0.0,1252.0,0.22770562770562772
Isle Royale National Park,ISRO,MI,571790,48.1,-88.55,20324,1189.0,199.0,7.0,1395.0,0.14265232974910394,0.0,13.0,261.0,14.0,63.0,0.0,0.0,21.0,26.0,1.0,5.0,0.0,0.0,993.0,0.16736753574432295
Joshua Tree National Park,JOTR,CA,789745,33.79,-115.9,2051616,1238.0,64.0,13.0,1315.0,0.048669201520912544,5.0,5.0,301.0,0.0,1.0,38.0,342.0,10.0,67.0,6.0,52.0,0.0,153.0,1314.0,0.051696284329563816
Katmai National Park and Preserve,KATM,AK,3674530,58.5,-155.0,43923,995.0,18.0,48.0,1061.0,0.016965127238454288,0.0,1.0,222.0,4.0,44.0,105.0,7.0,29.0,54.0,20.0,0.0,7.0,0.0,732.0,0.018090452261306532
Kenai Fjords National Park,KEFJ,AK,669983,59.92,-149.65,310492,861.0,33.0,138.0,1032.0,0.03197674418604651,0.0,1.0,235.0,0.0,42.0,2.0,3.0,42.0,55.0,0.0,0.0,4.0,0.0,673.0,0.03832752613240418
Kobuk Valley National Park,KOVA,AK,1750717,67.55,-159.28,12278,662.0,0.0,1.0,663.0,0.0,0.0,1.0,125.0,0.0,26.0,333.0,0.0,0.0,38.0,26.0,0.0,0.0,0.0,476.0,0.0
Lake Clark National Park and Preserve,LACL,AK,2619733,60.97,-153.42,14914,1395.0,66.0,19.0,1480.0,0.0445945945945946,0.0,1.0,193.0,1.0,55.0,220.0,3.0,6.0,50.0,281.0,0.0,0.0,0.0,1197.0,0.047311827956989246
Lassen Volcanic National Park,LAVO,CA,106372,40.49,-121.51,453177,1207.0,89.0,28.0,1324.0,0.06722054380664652,2.0,17.0,245.0,15.0,20.0,51.0,95.0,18.0,100.0,160.0,22.0,6.0,0.0,1046.0,0.07373653686826843
Mammoth Cave National Park,MACA,KY,52830,37.18,-86.1,533183,1816.0,234.0,14.0,2064.0,0.11337209302325581,0.0,33.0,210.0,1.0,122.0,0.0,270.0,54.0,56.0,1.0,42.0,0.0,2.0,1708.0,0.1288546255506608
Mesa Verde National Park,MEVE,CO,52122,37.18,-108.49,544696,1101.0,130.0,0.0,1231.0,0.10560519902518278,0.0,8.0,237.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,21.0,0.0,0.0,891.0,0.11807447774750227
Mount Rainier National Park,MORA,WA,235625,46.85,-121.75,1272210,1132.0,170.0,8.0,1310.0,0.1297709923664122,0.0,16.0,187.0,0.0,23.0,31.0,47.0,0.0,69.0,357.0,5.0,0.0,0.0,1008.0,0.1501766784452297
North Cascades National Park,NOCA,WA,504781,48.7,-121.2,26423,2102.0,249.0,974.0,3325.0,0.07488721804511278,0.0,12.0,226.0,0.0,33.0,539.0,559.0,0.0,79.0,385.0,10.0,0.0,42.0,1478.0,0.11845861084681256
Olympic National Park,OLYM,WA,922651,47.97,-123.5,3137142,1618.0,270.0,20.0,1908.0,0.14150943396226415,0.0,16.0,310.0,0.0,97.0,0.0,87.0,0.0,80.0,0.0,6.0,0.0,0.0,1352.0,0.1668726823238566
Petrified Forest National Park,PEFO,AZ,93533,35.07,-109.78,677785,789.0,59.0,0.0,848.0,0.0695754716981132,0.0,8.0,244.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,21.0,0.0,0.0,516.0,0.07477820025348543
Pinnacles National Park,PINN,CA,26606,36.48,-121.16,235338,871.0,144.0,339.0,1354.0,0.10635155096011817,0.0,10.0,170.0,8.0,6.0,27.0,323.0,31.0,60.0,0.0,29.0,11.0,10.0,731.0,0.1653272101033295
Redwood National Park,REDW,CA,112512,41.3,-124.0,446973,1563.0,368.0,15.0,1946.0,0.18910585817060638,111.0,33.0,501.0,122.0,247.0,1363.0,744.0,334.0,154.0,251.0,39.0,147.0,7.0,2257.0,0.23544465770953296
Rocky Mountain National Park,ROMO,CO,265828,40.4,-105.58,3815953,1570.0,108.0,690.0,2368.0,0.04560810810810811,150.0,5.0,277.0,39.0,12.0,306.0,676.0,48.0,74.0,416.0,3.0,10.0,22.0,1114.0,0.06878980891719745
Saguaro National Park,SAGU,AZ,91440,32.25,-110.5,783004,1555.0,115.0,11.0,1681.0,0.06841165972635337,0.0,10.0,246.0,1.0,0.0,2.0,0.0,0.0,102.0,0.0,62.0,0.0,0.0,1411.0,0.07395498392282958
Sequoia and Kings Canyon National Parks,SEKI,CA,865952,36.43,-118.68,1710912,1731.0,261.0,3.0,1995.0,0.13082706766917293,0.0,13.0,220.0,0.0,19.0,0.0,0.0,0.0,89.0,0.0,24.0,0.0,0.0,1630.0,0.15077989601386482
Sequoia and Kings Canyon National Parks,SEKI,CA,865952,36.43,-118.68,1671910,1731.0,261.0,3.0,1995.0,0.13082706766917293,0.0,13.0,220.0,0.0,19.0,0.0,0.0,0.0,89.0,0.0,24.0,0.0,0.0,1630.0,0.15077989601386482
Shenandoah National Park,SHEN,VA,199045,38.53,-78.35,1297377,1475.0,377.0,894.0,2746.0,0.13729060451565914,0.0,40.0,268.0,3.0,41.0,765.0,318.0,2.0,63.0,350.0,38.0,2.0,4.0,2761.0,0.2555932203389831
Theodore Roosevelt National Park,THRO,ND,70447,46.97,-103.45,641534,858.0,97.0,62.0,1017.0,0.09537856440511308,0.0,8.0,223.0,1.0,32.0,1.0,73.0,3.0,66.0,61.0,13.0,2.0,2.0,680.0,0.11305361305361306
Voyageurs National Park,VOYA,MN,218200,48.5,-92.88,230857,1270.0,161.0,17.0,1448.0,0.1111878453038674,0.0,15.0,238.0,0.0,58.0,3.0,33.0,7.0,63.0,11.0,6.0,0.0,0.0,1019.0,0.12677165354330708
Wind Cave National Park,WICA,SD,28295,43.57,-103.48,582903,922.0,113.0,266.0,1301.0,0.08685626441199078,0.0,7.0,235.0,0.0,8.0,43.0,105.0,0.0,89.0,0.0,12.0,25.0,0.0,871.0,0.12255965292841649
Wrangell - St Elias National Park and Preserve,WRST,AK,8323148,61.0,-142.0,75193,1708.0,81.0,2.0,1791.0,0.04522613065326633,0.0,2.0,211.0,0.0,93.0,0.0,58.0,4.0,62.0,7.0,1.0,1.0,0.0,1357.0,0.04742388758782201
Yellowstone National Park,YELL,"WY, MT, ID",2219791,44.6,-110.5,3779045,2053.0,230.0,1140.0,3423.0,0.06719252118025124,204.0,9.0,330.0,63.0,19.0,11.0,1628.0,78.0,78.0,15.0,9.0,59.0,43.0,1420.0,0.11203117389186557
Yosemite National Park,YOSE,CA,761266,37.83,-119.5,4122831,1842.0,207.0,10.0,2059.0,0.10053423992229238,0.0,15.0,270.0,0.0,10.0,0.0,0.0,0.0,88.0,0.0,22.0,0.0,0.0,1683.0,0.11237785016286644
Zion National Park,ZION,UT,146598,37.3,-113.05,3571925,1591.0,203.0,2.0,1796.0,0.11302895322939867,0.0,7.0,301.0,0.0,15.0,0.0,0.0,0.0,80.0,0.0,30.0,0.0,0.0,1363.0,0.12759270898805783
